neutral/0,neutral/1,realization/0,realization/1,fear/0,fear/1,excitement/0,excitement/1,surprise/0,surprise/1,joy/0,joy/1,amusement/0,amusement/1,love/0,love/1,annoyance/0,annoyance/1,admiration/0,admiration/1,sadness/0,sadness/1,gratitude/0,gratitude/1,confusion/0,confusion/1,disapproval/0,disapproval/1,remorse/0,remorse/1,error/0,error/1,caring/0,caring/1,nervousness/0,nervousness/1,desire/0,desire/1,approval/0,approval/1,disgust/0,disgust/1,embarrassment/0,embarrassment/1,anger/0,anger/1,optimism/0,optimism/1,curiosity/0,curiosity/1,pride/0,pride/1,disappointment/0,disappointment/1
former,2044,longer,13,war,25,trending,8,mul,98,immediatel,16,w,53,vindessport,36,medium,14,u,25,took,19,possible,156,called,9,president,8,account,4,,,please,7,getting,2,term,12,thing,19,tweet,6,continues,9,shit,12,know,12,,,go,3,ukrainian,6
said,2016,making,13,smartnews,17,congratulation,8,ukraine,62,see,14,meeting,52,semangatteamb,36,single,13,people,23,family,19,gift,156,keep,4,please,8,n,4,,,johnson,6,little,2,president,12,johnson,17,crook,6,invite,9,sweden,12,quarter,12,,,australia,3,every,5
another,1999,reality,13,truth,16,mercy,8,delegation,38,glad,12,cal,51,ukraine,30,johnson,13,goodall,23,fled,19,prize,156,finding,4,stop,8,apologised,4,,,save,6,worried,2,outlined,12,true,17,shield,5,blog,9,nato,12,yg,12,,,something,2,tory,5
russian,1998,true,12,doubt,16,slap,8,surprised,30,u,12,australian,51,malaysia,15,every,12,british,22,story,19,ukrainian,153,report,4,mass,8,kovalen,3,,,get,6,long,2,say,12,word,17,sick,5,embarrassing,6,parade,12,impressed,12,,,prime,2,exposed,5
un,1897,appeaser,12,worry,13,gave,8,recovery,21,day,12,lauding,51,iri,15,one,12,smart,21,son,19,australian,139,mainstream,4,war,7,say,3,,,right,6,stop,2,pm,12,jewish,17,also,5,shame,6,putin,11,dgn,12,,,minister,2,something,5
law,1863,huge,12,horrifying,12,keroche,8,conference,21,world,12,protect,51,get,12,getting,12,think,20,wow,17,proud,115,news,4,russia,7,numbered,3,,,sir,5,answering,2,expect,8,yes,16,support,5,live,5,u,11,jokowi,12,,,showing,2,wrong,5
swedish,1837,mistake,12,russian,12,ruto,8,lugano,21,president,11,democracy,51,u,12,volodymyr,12,guy,20,happened,17,standing,114,doubt,4,refused,6,pal,3,,,freedom,5,boris,2,know,7,two,16,underestimate,5,russia,5,would,11,pergi,12,,,solidarity,2,boris,5
mention,1816,go,12,strike,12,witnessed,8,also,21,get,11,cant,51,boris,12,difference,12,another,19,must,17,today,113,whether,4,n,6,messiah,3,,,b,5,yet,2,tyrant,7,war,16,depravity,5,insufficient,5,like,10,jumpa,12,,,ukrainian,2,johnson,5
refer,1815,inch,12,shopping,12,toyota,8,wow,16,another,11,wo,51,much,12,secure,12,rumour,19,sold,17,volodymyr,93,case,4,think,6,comedian,3,,,help,4,coming,2,puppet,7,need,16,think,5,manpower,5,right,10,dan,12,,,volo,2,failed,5
degree,1813,closer,12,mall,12,shit,7,surprise,14,johnson,8,fact,49,suggestion,11,enough,12,abound,19,poor,15,people,74,a1,3,responsible,6,divert,3,,,better,4,soon,2,give,5,amp,15,deliberate,5,control,5,fucking,10,course,12,,,stand,2,another,5
