word,word_count
street,118
ask,118
joe,118
raise,118
sent,117
kherson,116
launch,116
le,115
minsk,115
member,115
puppet,114
using,114
rather,114
unity,114
killing,113
push,112
became,112
calling,111
line,111
ever,110
e,110
senate,110
ukr,110
actor,110
child,109
ruin,109
soon,108
little,108
part,108
block,108
island,108
surrendering,108
presiden,108
ring,107
put,107
saying,107
scandal,106
hahaha,106
2019,106
act,106
talking,106
safest,106
capture,105
idiot,105
24,105
retreat,105
tweet,104
restraining,104
analysis,104
might,104
campaign,104
hustler,104
shouting,104
idgaf,104
op,103
determine,103
understands,103
freest,102
fox,102
ray,101
launched,101
stream,101
ha,101
slava,101
running,100
macron,100
battle,100
away,100
au,100
nord,100
seems,100
recognition,100
choice,100
secretary,99
fate,99
condition,98
elder,98
eddy,98
warns,98
mul,98
list,97
taken,97
embarrassment,96
usd,96
feb,96
rate,96
friend,95
photograph,95
violon,95
ingres,95
depot,94
tur,93
easy,93
leadership,93
implemented,92
sure,92
host,92
arm,92
8,91
expensi,91
89,91
agree,91
parade,91
fragment,91
cossack,91
believing,91
suck,90
signed,90
yes,90
soo,90
report,90
family,90
gov,89
shooting,89
clown,88
something,88
therapy,88
g7,87
trying,87
history,87
de,87
reason,87
ministry,87
thread,86
pay,86
attacked,86
current,85
azov,85
parliament,85
team,85
interview,85
palace,85
dumb,84
bandera,84
woman,84
threat,84
sovereig,84
lying,83
strategic,83
pain,83
trip,83
preside,83
ambassador,83
shore,83
underestimated,83
according,82
follow,82
director,82
courage,82
position,81
european,81
poroshenko,81
kolomoisky,81
seized,81
addiction,81
guidance,81
ruining,81
terrorist,81
godspeed,81
actually,80
breaking,80
7,80
estimated,79
security,79
maria,79
two,78
entire,78
department,78
mean,77
kiev,77
pushback,77
republi,77
olympic,77
shit,76
work,76
100,76
unconditional,76
100m,76
published,76
rebuilding,76
coach,76
firepower,76
massacre,76
everyone,75
kissinger,75
massive,75
channel,75
com,75
comm,75
zakhraova,75
gone,74
may,74
please,74
forget,74
wil,74
everything,74
comment,74
75,73
feed,73
believe,73
ok,73
invasion,73
committee,73
spokesman,73
trouble,72
gas,72
true,72
confirmed,72
determined,72
confronting,72
grab,72
owns,71
property,71
office,71
course,71
missile,71
ousting,71
anyone,71
signing,71
g,71
mocking,71
negotiate,71
blow,71
piped,70
attempt,70
home,70
commission,70
attack,70
room,70
pro,70
short,70
highland,70
matter,69
probably,69
created,69
deputy,69
nothing,69
pathetic,69
obviously,69
remember,69
month,69
gain,69
131dayofwar,69
ranging,69
criminal,68
despite,68
al,68
spoke,68
include,67
human,67
problem,67
policy,67
lass,67
god,67
ronaldo,67
yacht,66
text,66
taking,66
situation,66
online,66
pr,66
park,66
car,65
conflict,65
considering,65
oh,65
gave,65
pressure,65
kid,65
